cnvFiles,siteID,sampleDateTime,SITE_ID,stationDepth,Latitude,Longitude
2010_CTD/1635/169_6-18-10_1635/CTD Files/M45_169.cnv,m45,2010-06-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/1635/207_7-26-10_1635/CTD Files/M110_207.cnv,m110,2020-04-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/1635/207_7-26-10_1635/CTD Files/M15_207.cnv,m15,2010-07-26T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/1635/207_7-26-10_1635/CTD Files/M25_207.cnv,m25,2010-07-26T00:00:00Z,NA,NA,NA,NA
2010_CTD/1635/207_7-26-10_1635/CTD Files/M45_207.cnv,m45,2010-07-26T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/1635/208_7-27-10_1635/CTD Files/M110_208.cnv,m110,2020-04-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/1635/208_7-27-10_1635/CTD Files/M15_208.cnv,m15,2010-07-27T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/1635/208_7-27-10_1635/CTD Files/M25_208.cnv,m25,2010-07-27T00:00:00Z,NA,NA,NA,NA
2010_CTD/1635/208_7-27-10_1635/CTD Files/M45_208.cnv,m45,2010-07-27T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/1635/208_7-27-10_1635/CTD Files/X2_208.cnv,x2,2010-07-27T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/M110day.cnv,m110,2010-03-24T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/M15day.cnv,m15,2010-03-24T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/m15night.cnv,m15,2010-03-24T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/M45day.cnv,m45,2010-03-24T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/m45night.cnv,m45,2010-03-24T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/083_3-24-10_laurentian/Raw/offshoreday.cnv,offshor,2010-03-24T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/102_4-12-10_laurentian/Raw/M10night.cnv,m10,2010-04-12T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/102_4-12-10_laurentian/Raw/M110night.cnv,m110,2010-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/102_4-12-10_laurentian/Raw/M110night2.cnv,m110,2010-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/102_4-12-10_laurentian/Raw/M15night.cnv,m15,2010-04-12T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/102_4-12-10_laurentian/Raw/M45day.cnv,m45,2010-04-12T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/138_5-18-10_laurentian/Raw/M110.cnv,m110,2010-05-18T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/138_5-18-10_laurentian/Raw/M15.cnv,m15,2010-05-18T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/138_5-18-10_laurentian/Raw/M45.cnv,m45,2010-05-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/145_5-25-10_laurentian/Raw/hope65m.cnv,hope65,2010-05-25T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/145_5-25-10_laurentian/Raw/M110.cnv,m110,2010-05-25T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/145_5-25-10_laurentian/Raw/M110_2.cnv,m110,2010-05-25T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/145_5-25-10_laurentian/Raw/M15.cnv,m15,2010-05-25T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/145_5-25-10_laurentian/Raw/M45.cnv,m45,2010-05-25T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/155_6-4-10_laurentian/Raw/M110.cnv,m110,2010-06-04T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/155_6-4-10_laurentian/Raw/M15.cnv,m15,2010-06-04T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/155_6-4-10_laurentian/Raw/M45.cnv,m45,2010-06-04T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/159_6-8-10_laurentian/Raw/M110.cnv,m110,2010-06-08T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/159_6-8-10_laurentian/Raw/M15.cnv,m15,2010-06-08T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/159_6-8-10_laurentian/Raw/M45.cnv,m45,2010-06-08T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/165_6-14-10_laurentian/Raw/M110.cnv,m110,2010-06-14T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/165_6-14-10_laurentian/Raw/M15.cnv,m15,2010-06-14T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/165_6-14-10_laurentian/Raw/M45.cnv,m45,2010-06-14T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/166_6-15-10_laurentian/Raw/M110.cnv,m110,2010-06-15T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/166_6-15-10_laurentian/Raw/M15.cnv,m15,2010-06-15T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/166_6-15-10_laurentian/Raw/M45.cnv,m45,2010-06-15T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/169_6-18-10_laurentian/Raw/M110.cnv,m110,2010-06-18T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/169_6-18-10_laurentian/Raw/M15.cnv,m15,2010-06-18T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/169_6-18-10_laurentian/Raw/M45.cnv,m45,2010-06-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/175_6-24-10_laurentian/Raw/M110.cnv,m110,2010-06-24T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/175_6-24-10_laurentian/Raw/M110_2.cnv,m110,2010-06-24T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/180_6-29-10_laurentian/Raw/M110.cnv,m110,2010-06-29T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/180_6-29-10_laurentian/Raw/M15.cnv,m15,2010-06-29T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/180_6-29-10_laurentian/Raw/M45.cnv,m45,2010-06-29T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/182_7-1-10_laurentian/Raw/M110.cnv,m110,2010-07-01T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/182_7-1-10_laurentian/Raw/M15.cnv,m15,2010-07-01T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/182_7-1-10_laurentian/Raw/M45.cnv,m45,2010-07-01T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/190_7-9-10_laurentian/Raw/M110.cnv,m110,2010-07-09T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/190_7-9-10_laurentian/Raw/M15.cnv,m15,2010-07-09T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/190_7-9-10_laurentian/Raw/M45.cnv,m45,2010-07-09T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M1100530.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M1102051.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M110n0815.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M110n19.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M110s01.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M110s13.cnv,m110,2010-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M150415.cnv,m15,2010-07-19T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M15d1730.cnv,d1,2010-07-19T00:00:00Z,d1,10,43.14233333,86.29933333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M45d1925.cnv,d1,2010-07-19T00:00:00Z,d1,10,43.14233333,86.29933333
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M45n09.cnv,m45,2010-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M45n13.cnv,m45,2010-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/200_7-19-10_laurentian/Raw/M45n17.cnv,m45,2010-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/215_8-3-10_laurentian/Raw/M110.cnv,m110,2010-08-03T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/215_8-3-10_laurentian/Raw/M15.cnv,m15,2010-08-03T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/215_8-3-10_laurentian/Raw/M45.cnv,m45,2010-08-03T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/216_8-4-10_laurentian/Raw/m45.cnv,m45,2010-08-04T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/229_8-17-10_laurentian/Raw/M110.cnv,m110,2010-08-17T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/229_8-17-10_laurentian/Raw/M15.cnv,m15,2010-08-17T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/229_8-17-10_laurentian/Raw/M45.cnv,m45,2010-08-17T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/252_9-9-10_laurentian/Raw/M110.cnv,m110,2010-09-09T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/252_9-9-10_laurentian/Raw/M15.cnv,m15,2010-09-09T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/252_9-9-10_laurentian/Raw/M45.cnv,m45,2010-09-09T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M1101730.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M1101900.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M1102330.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M110530.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M110day.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M110night.cnv,m110,2010-09-27T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M15day.cnv,m15,2010-09-27T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M15night.cnv,m15,2010-09-27T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M45day.cnv,m45,2010-09-27T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/M45night.cnv,m45,2010-09-27T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/270_9-27-10_laurentian/Raw/offshoreday.cnv,offshor,2010-09-27T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/291_10-18-10_laurentian/Raw/M110.cnv,m110,2010-10-18T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/291_10-18-10_laurentian/Raw/M15.cnv,m15,2010-10-18T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/291_10-18-10_laurentian/Raw/M25.cnv,m25,2010-10-18T00:00:00Z,NA,NA,NA,NA
2010_CTD/laurentian/291_10-18-10_laurentian/Raw/M45.cnv,m45,2010-10-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/laurentian/305_11-1-10_laurentian/Raw/M110.cnv,m110,2010-11-01T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/laurentian/305_11-1-10_laurentian/Raw/M15.cnv,m15,2010-11-01T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/laurentian/305_11-1-10_laurentian/Raw/M45.cnv,m45,2010-11-01T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M110.cnv,m110,2011-03-29T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M110_bin.cnv,m110,2011-03-29T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M15.cnv,m15,2011-03-29T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M15_bin.cnv,m15,2011-03-29T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M45.cnv,m45,2011-03-29T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/087_3-29-11_0758/raw/087_3-29-11_0758_M45_bin.cnv,m45,2011-03-29T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/102_4-12-11_0758/raw/M110_102_11_0758.cnv,m110,2011-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/102_4-12-11_0758/raw/M110_102_11_0758_bin.cnv,m110,2011-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/102_4-12-11_0758/raw/M15_102_11_0758.cnv,m15,2011-04-12T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/102_4-12-11_0758/raw/M15_102_11_0758_bin.cnv,m15,2011-04-12T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/102_4-12-11_0758/raw/M45_102_11_0758.cnv,m45,2011-04-12T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/102_4-12-11_0758/raw/M45_102_11_0758_bin.cnv,m45,2011-04-12T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/102_4-12-11_Laurentian/raw/m110.bin.cnv,m110,2011-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/102_4-12-11_Laurentian/raw/m110.cnv,m110,2011-04-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M110_0005.cnv,m110,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M110_0005_bin.cnv,m110,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M15_0003.cnv,m15,2011-04-18T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M15_0003_bin.cnv,m15,2011-04-18T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M45_0004.cnv,m45,2011-04-18T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/108_4-18-11_6659/raw/108_11_M45_0004_bin.cnv,m45,2011-04-18T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/108_4-18-11_6659/raw/108_11_MidMusk_0006.cnv,midmusk,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_6659/raw/108_11_MidMusk_0006_bin.cnv,midmusk,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_Laurentian/Raw/m11010811.cnv,m110,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/108_4-18-11_Laurentian/Raw/m1510811.cnv,m15,2011-04-18T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/108_4-18-11_Laurentian/Raw/m4510811.cnv,m45,2011-04-18T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/108_4-18-11_Laurentian/Raw/midmusk10811.cnv,midmusk,2011-04-18T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M110.cnv,m110,2011-05-05T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M110_bin.cnv,m110,2011-05-05T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M15.cnv,m15,2011-05-05T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M15_bin.cnv,m15,2011-05-05T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M45.cnv,m45,2011-05-05T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/125_5-5-11_6659/raw/125_5-5-11_M45_bin.cnv,m45,2011-05-05T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M110(night).cnv,m110,2011-06-06T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M110(night)_bin.cnv,m110,2011-06-06T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M15.cnv,m15,2011-06-06T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M15_bin.cnv,m15,2011-06-06T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M45(night).cnv,m45,2011-06-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M45(night)_bin.cnv,m45,2011-06-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M45.cnv,m45,2011-06-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/157_6-6-11_6659/raw/157_06-09-2011_66590_M45_bin.cnv,m45,2011-06-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/161_6-10-11_Laurentian/raw/m25.bin.cnv,m25,2011-06-10T00:00:00Z,NA,NA,NA,NA
2011 CTD DATA/161_6-10-11_Laurentian/raw/m25.cnv,m25,2011-06-10T00:00:00Z,NA,NA,NA,NA
2011 CTD DATA/161_6-10-11_Laurentian/raw/m45.bin.cnv,m45,2011-06-10T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/161_6-10-11_Laurentian/raw/m45.cnv,m45,2011-06-10T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_alpha.cnv,alpha,2011-01-12T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_alpha_bin.cnv,alpha,2011-01-12T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_beta.cnv,beta,2011-01-12T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_beta_bin.cnv,beta,2011-01-12T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_omega.cnv,omega,2011-01-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/193_07_12_11_0758/raw/193_07-012-11_0758_omega_bin.cnv,omega,2011-01-12T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/195_7-14-11_Laurentian/raw/m110.bin.cnv,m110,2011-07-14T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/195_7-14-11_Laurentian/raw/m110.cnv,m110,2011-07-14T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M110.hex.cnv,m110,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M110.hex_bin.cnv,m110,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M15.hex.cnv,m15,2011-07-19T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M15.hex_bin.cnv,m15,2011-07-19T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M45.hex.cnv,m45,2011-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/200_07-19-11_Laurentian/raw/200_2011_07-19-11_M45.hex_bin.cnv,m45,2011-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M110.cnv,m110,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M110_bin.cnv,m110,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M15.cnv,m15,2011-07-19T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M15_bin.cnv,m15,2011-07-19T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M45.cnv,m45,2011-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_M45_bin.cnv,m45,2011-07-19T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_MuskMid.cnv,muskmid,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/200_7-19-11_6659/raw/200_2011_07-19-11_MuskMid_bin.cnv,muskmid,2011-07-19T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_alpha.cnv,alpha,2020-08-08T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_alpha_bin.cnv,alpha,2020-08-08T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_beta.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_beta_bin.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_beta_night.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_beta_night_bin.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_omega_dark.cnv,omega,2020-08-08T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/220_08-08-2011_6659/raw/220_08-08-2011_omega_dark_bin.cnv,omega,2020-08-08T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_alpha.cnv,alpha,2020-08-08T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_alpha_bin.cnv,alpha,2020-08-08T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_beta.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_beta_bin.cnv,beta,2020-08-08T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_omega.cnv,omega,2020-08-08T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/220_08-08-2011_Laurentian/raw/220_08-08-2011_omega_bin.cnv,omega,2020-08-08T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/238_8-26-11_Laurentian/raw/m110.bin.cnv,m110,2011-08-26T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/238_8-26-11_Laurentian/raw/m110.cnv,m110,2011-08-26T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_alpha.bin.cnv,alpha,2011-09-06T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_alpha.cnv,alpha,2011-09-06T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_beta.bin.cnv,beta,2011-09-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_beta.cnv,beta,2011-09-06T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_omega.bin.cnv,omega,2011-09-06T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/249_9-6-11_Laurentian/raw/2011sept06_omega.cnv,omega,2011-09-06T00:00:00Z,omega,110,43.19983333,86.56983333
2011 CTD DATA/276-11_Laurentian/raw/276_10-03-11_beta.bin.cnv,beta,2011-10-03T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/276-11_Laurentian/raw/276_10-03-11_beta.cnv,beta,2011-10-03T00:00:00Z,beta,45,43.20616667,86.44966667
2011 CTD DATA/276-11_Laurentian/raw/276_10-03-2011_alpha.bin.cnv,alpha,2011-10-03T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/276-11_Laurentian/raw/276_10-03-2011_alpha.cnv,alpha,2011-10-03T00:00:00Z,alpha,17,43.18816667,86.344
2011 CTD DATA/276-11_Laurentian/raw/276_10-03-2011_omega.bin.cnv,omega,2011-10-03T00:00:00Z,omega,110,43.19983333,86.56983333
