cnvFiles,siteID,sampleDateTime,SITE_ID,stationDepth,Latitude,Longitude
2008 CTD data/091-08/758 raw/BETA091-08.bin.cnv,beta,2008-03-31T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/091-08/758 raw/BETA091.bin.cnv,beta,2008-03-31T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/091-08/758 raw/OMEGA091-08.bin.cnv,omega,2008-03-31T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/091-08/758 raw/OMEGA091.bin.cnv,omega,2008-03-31T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/094-08/758 raw/BETA095-11.bin.cnv,beta,2008-04-03T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/094-08/758 raw/OMEGA095-11.bin.cnv,omega,2008-04-03T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/094-08_GH/758 raw/GH100_094-08.bin.cnv,gh100,2008-04-03T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/094-08_GH/758 raw/GH45_094-08.bin.cnv,gh45,2008-04-03T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/099-08/758 raw/ALPHA099-08.bin.cnv,alpha,2008-04-08T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/099-08/758 raw/BETA099-08.bin.cnv,beta,2008-04-08T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/099-08/758 raw/OMEGA099-08.bin.cnv,omega,2008-04-08T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/108-08/758 raw/ALPHA108-08.bin.cnv,alpha,2008-04-17T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/108-08/758 raw/BETA108-08.bin.cnv,beta,2008-04-17T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/108-08/758 raw/OMEGA108-08.bin.cnv,omega,2008-04-17T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/121-08_GH/758 raw/GH100_121-08.bin.cnv,gh100,2008-04-30T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/121-08_GH/758 raw/GH45_121-08.bin.cnv,gh45,2008-04-30T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/121-08_Hank/758 raw/M25_121-08.bin.cnv,m25,2008-04-30T00:00:00Z,NA,NA,NA,NA
2008 CTD data/121-08_Hank/758 raw/StaD_121-08.bin.cnv,stad,2008-04-30T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/121-08_MIDLK/758 raw/121-11_midlk.bin.cnv,midlk,2008-04-30T00:00:00Z,midlk,150,42.71033333,87.09483333
2008 CTD data/126-08/758 raw/ALPHA126-08.bin.cnv,alpha,2008-05-05T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/126-08/758 raw/BETA126-08.bin.cnv,beta,2008-05-05T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/126-08/758 raw/OMEGA126-08.bin.cnv,omega,2008-05-05T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/137-08/laurent raw/Alpha189.CNV,alpha,2008-05-16T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/137-08/laurent raw/Beta189.CNV,beta,2008-05-16T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/137-08/laurent raw/Omega189.CNV,omega,2008-05-16T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/156-08/758 raw/alpha156-08.bin.cnv,alpha,2008-06-04T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/156-08/758 raw/beta156-08.bin.cnv,beta,2008-06-04T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/156-08/758 raw/omega156-08.bin.cnv,omega,2008-06-04T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/157-08_GH/758 raw/GH100_157-08.bin.cnv,gh100,2008-06-05T00:00:00Z,gh100,100,43.01933333,86.63183333
2008 CTD data/157-08_GH/758 raw/GH45_157-08.bin.cnv,gh45,2008-06-05T00:00:00Z,gh45,45,43.0414,86.3332
2008 CTD data/171-08/758 raw/ALPHA171-08.bin.cnv,alpha,2008-06-19T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/171-08/758 raw/BETA171-08.bin.cnv,beta,2008-06-19T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/171-08/758 raw/OMEGA171-08.bin.cnv,omega,2008-06-19T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/189-08/Laurent raw/Alpha189-08.CNV,alpha,2008-07-07T00:00:00Z,alpha,17,43.18816667,86.344
2008 CTD data/189-08/Laurent raw/Beta189-08.CNV,beta,2008-07-07T00:00:00Z,beta,45,43.20616667,86.44966667
2008 CTD data/189-08/Laurent raw/Omega189-08.CNV,omega,2008-07-07T00:00:00Z,omega,110,43.19983333,86.56983333
2008 CTD data/203-08/laurent raw/Alpha203.CNV,alpha,2008-07-21T00:00:00Z,alpha,17,43.18816667,86.344
